en_word,pos,level,mp3_url,ru_word,transcription,en_example,ru_example
inspector,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/inspe/inspector__gb_1.mp3,инспектор,[ɪnˈspektə],"It's inspector Russi, commissioner.","Это инспектор Русси, комиссар."
advertising,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertising__gb_1.mp3,реклама,,Grow your business with advertising,Развивайте свою компанию с помощью рекламы
equivalent,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/equ/equiv/equivalent__gb_2.mp3,эквивалентный,[ɪˈkwɪvələnt],This is equivalent to foreign-currency debt.,Это эквивалентно задолженности в иностранной валюте.
possibility,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pos/possi/possibility__gb_1.mp3,возможность,[ˌpɔsəˈbɪlɪtɪ],This is again a possibility.,Это еще одна возможность.
representation,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rep/repre/representation__gb_1.mp3,представительство,[ˌreprɪzenˈteɪʃən],Sole and exclusive representation free.,Мы предоставляем эксклюзивное представительство.
disadvantage,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disad/disadvantage__gb_2.mp3,недостаток,[ˌdɪsədˈvɑ:ntɪdʒ],Mechanical trading systems do not suffer from this disadvantage.,Механические торговые системы лишены этого недостатка.
adult,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3,взрослый,[ˈædʌlt],Escort Services and Adult Dating,Эскорт-услуги и знакомства для взрослых
blank,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blank/blank__gb_1.mp3,пустой,[blæŋk],First select some blank cells.,Сначала выделите пустые ячейки.
ruling,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rul/rulin/ruling__gb_1.mp3,постановление,[ˈru:lɪŋ],The FAA ruling applies to American airlines.,Постановление ФАУ распространяется на американские авиакомпании.
serve,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ser/serve/serve__gb_1.mp3,служить,[sə:v],The Manhunters serve me now.,Сейчас Охотники служат мне.
bother,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bothe/bother__gb_1.mp3,беспокоить,[ˈbɔðə],Children often bother their parents.,Дети часто беспокоят своих родителей.
genocide,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/genoc/genocide__gb_1.mp3,геноцид,,But “genocide” it is not.,Но это никак не «геноцид».
damage,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dam/damag/damage__gb_2.mp3,ущерб,[ˈdæmɪdʒ],This is my damage report.,Вот мой отчёт об ущербе.
achieve,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3,достигать,[əˈtʃi:v],How did we achieve that?,Как мы этого достигли?
accountant,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3,бухгалтер,[əˈkauntənt],I'm your chief accountant.,Я же твой главный бухгалтер.
embody,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/emb/embod/embody__gb_1.mp3,воплощать,[ɪmˈbɔdɪ],Living organisms obviously embody arrangements of matter into complex structures.,"Живые организмы, очевидно, воплощают организации материи в сложные структуры."
party,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/party/party__gb_2.mp3,сторона,[ˈpɑ:tɪ],I &apos;m the injured party.,Ведь я - пострадавшая сторона.
praise,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pra/prais/praise__gb_1.mp3,похвала,[preɪz],Others offered carefully worded praise.,Другие выступили со сдержанной похвалой в адрес Гэдди.
put,verb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/put/put__/put__gb_1.mp3,положить,[put],Put it where you like.,"Положи, где хочешь."
data,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dat/data_/data__gb_5.mp3,данные,[ˈdeɪtə],Import data from SQL Server,Импорт данных из SQL Server
prepared,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/prepa/prepared__gb_1.mp3,подготовленный,[prɪˈpɛəd],Is the patient prepared for surgery?,Больной подготовлен к операции?
medal,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/med/medal/medal__gb_1.mp3,медаль,[ˈmedl],We won the bronze medal.,Мы выиграли бронзовую медаль.
evolution,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/evo/evolu/evolution__gb_1.mp3,эволюция,[ˌi:vəˈlu:ʃən],Evolution cannot be cut apart.,Эволюция не может быть разделена на части.
indoor,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ind/indoo/indoor__gb_1.mp3,внутренний,[ˈɪndɔ:],We drained the indoor to make room for presents.,"Из внутреннего мы слили воду, чтобы складывать туда подарки."
year,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/y/yea/year_/year__gb_1.mp3,год,[jə:],The Second Year of Europe,Второй «Год Европы»
merchant,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mer/merch/merchant__gb_1.mp3,торговец,[ˈmə:tʃənt],Mr Brown is a wool merchant.,Мистер Браун торговец шерстью.
chemistry,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chemi/chemistry__gb_2.mp3,химия,,"physics, biology, chemistry, engineering, etc.","Но это важно для исследований в таких областях науки (теоретических и прикладных), как, например, физика, биология, химия, инженерия и др., результаты которых могут быть использованы в производстве новых технологий."
intellectual,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/intel/intellectual__gb_1.mp3,интеллектуальный,[ˌɪntɪˈlektjuəl],The second revolution is intellectual.,Вторая революция должна стать интеллектуальной.
investment,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inv/inves/investment__gb_2.mp3,инвестиции,[ɪnˈvestmənt],6. Classification and investment objective,6. Классификация и цель инвестиций
ordinary,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ord/ordin/ordinary__gb_1.mp3,обычный,[ˈɔ:dnrɪ],Extraordinary Measures for Ordinary Times,Чрезвычайные меры в обычные времена
constituency,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconstituency__gb_4.mp3,избирательный округ,[kənˈstɪtjuənsɪ],"The late Geoffrey Dickens, M.P. was attending a fete in his constituency.","Покойный Джефри Дикенс, член парламента, присутствовал как-то на одном мероприятии в своем избирательном округе."
necessity,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nec/neces/necessity__gb_1.mp3,необходимость,[nɪˈsesɪtɪ],So it was a necessity.,Так что это было необходимостью.
cooking,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cooki/cooking__gb_1.mp3,приготовление,,Cooking takes up too much time.,Приготовление пищи отнимает слишком много времени.
end,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/end/end__/end__gb_1.mp3,конец,[end],The End of Kamikaze Pacifism?,Конец пацифизма камикадзе?
human,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hum/human/human__gb_1.mp3,человека,[ˈhju:mən],Exhibitions and human rights observances.,Выставки и торжественные мероприятия по тематике прав человека.
plead,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/ple/plead/plead__gb_1.mp3,умолять,[pli:d],I plead your lordships for clemency.,Я умоляю ваши светлости о снисхождении.
proceed,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/proce/proceed__gb_1.mp3,продолжать,[prəˈsi:d],"Herr Janning, you may proceed.","Герр Яннинг, вы можете продолжать."
input,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inp/input/input__gb_2.mp3,вклад,[ˈɪnput],"Enid, I need your input.","Инид, нужен твой вклад."
flourish,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/flo/flour/flourish__gb_1.mp3,процветать,[ˈflʌrɪʃ],"Meanwhile, Islamism was allowed to flourish unidentified.",Исламизм тем временем оставался незамеченным нами и процветал.
subscriber,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sub/subsc/subscriber__gb_1.mp3,подписчик,[səbˈskraɪbə],Learn more about subscriber counts.,"Подробнее о том, как подсчитывается количество подписчиков, можно узнать из этой статьи."
loose,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/loo/loose/loose__gb_1.mp3,свободный,[lu:s],"An unusual crowd, loose guest list.","Разношерстная толпа, свободный вход."
ought,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aug/aught/aught__gb_1.mp3,следовало бы,[ɔ:t],He ought to have arrived home by now.,Ему уже следовало бы быть дома.
moment,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mom/momen/moment__gb_1.mp3,момент,[ˈməumənt],It was an exciting moment.,Это был волнующий момент.
entrepreneur,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ent/entre/entrepreneur__gb_1.mp3,предприниматель,[ˌɔntrəprəˈnə:],"Russian entrepreneur, business executive, and philanthropist","Российский предприниматель, руководитель компании и филантроп"
all right,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3,в порядке,,"Temperance, are you all right?","Темперанс, ты в порядке?"
correct,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corre/correct__gb_2.mp3,правильный,[kəˈrekt],Tell me the correct answer.,Скажи мне правильный ответ.
frame,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fra/frame/frame__gb_1.mp3,рамка,[freɪm],"Oh, they broke my frame.","Ох, они пробили мою рамку."
boot,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boot_/boot__gb_2.mp3,сапог,[bu:t],I saw that same boot print up in the tree.,Я видел такие же следы от сапог на дереве.
leaflet,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leafl/leaflet__gb_1.mp3,листовка,[ˈli:flɪt],A leaflet dissuading ladies from debauchery?,"Листовки, отговаривающие дам от распущенности?"
obvious,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/obv/obvio/obvious__gb_2.mp3,очевидный,[ˈɔbvɪəs],The challenges ahead are obvious.,Предстоящие трудности очевидны.
debris,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/deb/debri/debris__gb_4.mp3,мусор,[ˈdeɪbri:],Modelling debris in high Earth orbit,Моделирование среды космического мусора на высокой околоземной орбите
deem,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dee/deem_/deem__gb_1.mp3,считать,[di:m],"Both deem Islam the new enemy, one held in common.",Обе стороны считают ислам своим общим новым врагом.
disappointed,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disap/disappointed__gb_1.mp3,разочарованный,[ˌdɪsəˈpɔɪntɪd],She was disappointed in love.,Она была разочарованы в любви.
title,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tit/title/title__gb_2.mp3,название,[ˈtaɪtl],The title of the item.,Название товара.
sick,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sic/sick_/sick__gb_1.mp3,больной,[sɪk],"O Rose, thou art sick!","О, роза, ты больна!"
density,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/den/densi/density__gb_3.mp3,плотность,[ˈdensɪtɪ],"Strong, supple, great bud density.","Сильный, гибкий, отличная плотность рецепторов."
wealthy,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wea/wealt/wealthy__gb_1.mp3,богатый,[ˈwelθɪ],She is a wealthy woman.,Она — богатая женщина.
make,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mak/make_/make__gb_1.mp3,сделать,[meɪk],Can you make meat loaf?,Можешь сделать мясной рулет?
lesson,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/les/lesso/lesson__gb_1.mp3,урок,[ˈlesn],Guess I missed that lesson.,"Наверное, я прогулял этот урок."
broad,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broad/broad__gb_1.mp3,широкий,[brɔ:d],It has broad bipartisan backing.,Он пользуется широкой поддержкой обеих партий.
parent,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/paren/parent__gb_1.mp3,родитель,[ˈpɛərənt],What do any parent do?,Что обычно делают родители в таких случаях?
various,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/var/vario/various__gb_4.mp3,различный,[ˈvɛərɪəs],Various combinations of the above.,4. Различные комбинации вышеупомянутых вариантов.
offspring,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/off/offsp/offspring__gb_1.mp3,потомство,[ˈɔfsprɪŋ],"Think about evolution in terms of offspring competing, and some winning.","Думайте об эволюции как о соревнующемся потомстве, и о его выигрывающей части."
conversation,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconversation__gb_1.mp3,разговор,[ˌkɔnvəˈseɪʃən],"Hakim, this conversation is over.","Хаким, этот разговор окончен."
fragment,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fra/fragm/fragment__gb_1.mp3,фрагмент,['frægmənt],We narrowed it down to one fragment;,Задача свелась к одному фрагменту.
aim,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3,цель,[eɪm],Aim a lie at ignorance.,Цель - ложь во спасение.
disorder,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disor/disorder__gb_2.mp3,расстройство,[dɪsˈɔ:də],You have body dysmorphic disorder.,У вас телесное дисморфическое расстройство.
innocent,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inn/innoc/innocent__gb_2.mp3,невинный,[ˈɪnəsənt],"An innocent, mindless little baby.","Невинным, глупеньким ребёнком."
integrated,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/integ/integrated__gb_1.mp3,интегрированный,,· a reasonably integrated legal system.,· интегрированная (в разумных пределах) правовая система.
big,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big__/big__gb_2.mp3,большой,[bɪɡ],She's a big girl.,Она уже большая девочка.
marry,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marry/marry__gb_1.mp3,жениться,[ˈmærɪ],You must marry for love.,Ты должен жениться по любви.
third,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/thi/third/third__gb_1.mp3,треть,[θə:d],The watch appears bottom third.,Появляется нижняя треть часов.
tropical,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tro/tropi/tropical__gb_1.mp3,тропический,[ˈtrɔpɪkəl],"Ann, you beautiful tropical fish.","Энн, моя прекрасная тропическая рыбка."
wildlife,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wil/wildl/wildlife__gb_1.mp3,дикая природа,[ˈwaɪldlaɪf],Wildlife Conservation Society more dealing with plants.,Общество по охране дикой природы в основном имеет дело с растениями.
wish,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wis/wish_/wish__gb_1.mp3,желание,[wɪʃ],Did your wish come true?,Ваше желание исполнилось?
dark,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dar/dark_/dark__gb_1.mp3,темный,[dɑ:k],Respect to the dark horse.,Респект темной лошадке.
excessive,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exc/exces/excessive__gb_1.mp3,чрезмерный,[ɪkˈsesɪv],Exposure to excessive G-forces?,Она подверглась чрезмерной перегрузке?
honour,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hon/honou/honour__gb_1.mp3,честь,[ˈɔnə],In honour of my father.,Это в честь моего отца.
odd,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/odd/odd__/odd__gb_2.mp3,странный,[ɔd],That's an odd thing,Странно
